,Model 1,Model 2,Model 1,Model 2,Model 1,Model 2,Model 1,Model 2
t+1,4.36 (10.10),4.85,0.90 (0.00),0.90,0.25 (10.71),0.28,2.87 (10.59),3.21
t+2,5.95 (6.00),6.33,0.82 (1.23),0.81,0.37 (7.50),0.40,4.15 (7.78),4.50
t+3,7.27 (6.91),7.81,0.72 (4.35),0.69,0.46 (8.00),0.50,5.19 (8.63),5.68
t+4,8.29 (8.50),9.06,0.65 (10.17),0.59,0.51 (10.53),0.57,5.95 (11.19),6.70
t+5,9.03 (10.24),10.06,0.60 (20.00),0.50,0.55 (14.06),0.64,6.54 (13.03),7.52
t+6,9.37 (12.02),10.65,0.56 (27.27),0.44,0.59 (14.49),0.69,6.83 (14.73),8.01
t+1,4.58 (12.76),5.25,0.90 (1.12),0.89,0.27 (12.90),0.31,3.05 (15.51),3.61
t+2,6.58 (9.12),7.24,0.79 (2.60),0.77,0.41 (10.87),0.46,4.65 (10.58),5.20
t+3,8.09 (8.07),8.80,0.68 (6.25),0.64,0.51 (8.93),0.56,5.91 (8.94),6.49
t+4,9.35 (8.60),10.23,0.59 (11.32),0.53,0.58 (9.38),0.64,6.93 (10.35),7.73
t+5,10.25 (9.05),11.27,0.52 (20.93),0.43,0.62 (11.43),0.70,7.62 (11.19),8.58
t+6,10.74 (10.20),11.96,0.48 (33.33),0.36,0.66 (12.00),0.75,8.05 (11.34),9.08
