,2020_winter,2020_spring,2020_summer,2020_autumn,2021_winter,2021_spring,2021_summer,2021_autumn,2022_winter,2022_spring,2022_summer,2022_autumn,2023_winter,2023_spring,2023_summer,2023_autumn
R3_obs,82.02361419,82.1996892,81.01353422,77.92780048,81.42467532,82.72433712,85.33231707,80.29988038,85.57055785,84.93131868,81.10549242,79.93675889,80.25965538,82.12327824,80.98713034,82.04545455
R3_forecast,82.26913237,81.96938314,80.98795501,77.67228596,81.69110319,82.25995491,85.46920166,80.14786869,85.5147124,84.640946,81.38909909,80.07749907,80.15891821,81.9476845,80.66699237,81.46333244
btm_simulate,81.27161863,79.54895105,81.29089133,75.91011236,77.38636364,79.74204545,85.59423503,79.41267943,84.21384298,82.77222777,81.44886364,80.49011858,80.48663102,80.25413223,80.61555312,76.46590909
btm_std,11.74208595,10.74918351,10.02612218,10.84984556,11.74208595,10.74918351,10.02612218,10.84984556,11.74208595,10.74918351,10.02612218,10.84984556,11.74208595,10.74918351,10.02612218,10.84984556
R3_mae,2.105261256,2.422728652,2.842955378,2.208049909,2.105261256,2.422728652,2.842955378,2.208049909,2.105261256,2.422728652,2.842955378,2.208049909,2.105261256,2.422728652,2.842955378,2.208049909
btm_simulate_mae,8.143266601,8.253349519,8.264847072,8.494608348,8.143266601,8.253349519,8.264847072,8.494608348,8.143266601,8.253349519,8.264847072,8.494608348,8.143266601,8.253349519,8.264847072,8.494608348
R2_obs,80.47319009,81.34004884,78.79081186,77.09229535,79.74170918,79.2425496,83.4920151,79.41593567,85.2659632,84.30125589,80.45176587,81.0134403,79.42545907,81.01920996,78.35604322,77.42261905
R2_forecast,80.65292825,80.79855781,79.03830523,76.84585902,80.22382169,78.74253767,83.81730222,78.93562663,85.46762735,84.30890721,80.69898941,81.34946325,79.22531273,80.65212039,78.63150833,77.98521998
mid_simulate,79.54355401,77.4993895,79.18480939,74.53611557,77.29336735,78.5922619,83.31416957,78.53007519,86.16125541,84.22762951,80.60892857,80.74378882,78.4789916,78.18127706,78.97360872,74.60119048
mid_std,15.02874183,13.39434891,12.35557889,13.20855876,15.02874183,13.39434891,12.35557889,13.20855876,15.02874183,13.39434891,12.35557889,13.20855876,15.02874183,13.39434891,12.35557889,13.20855876
R2_mae,2.377446786,2.944710053,3.318188823,2.55435208,2.377446786,2.944710053,3.318188823,2.55435208,2.377446786,2.944710053,3.318188823,2.55435208,2.377446786,2.944710053,3.318188823,2.55435208
mid_simulate_mae,9.533737322,9.552209034,9.28919256,9.649889188,9.533737322,9.552209034,9.28919256,9.649889188,9.533737322,9.552209034,9.28919256,9.649889188,9.533737322,9.552209034,9.28919256,9.649889188
R1_obs,79.51210801,81.24435287,81.01581779,78.05016051,79.06696429,78.00636905,84.74869338,81.15820802,84.45819805,83.65384615,80.19196429,79.53571429,77.88305322,81.26812771,80.23250143,80.08928571
R1_forecast,79.69375528,81.02327853,81.14601503,78.02125409,79.65604802,78.25039486,84.9428165,81.19479556,85.13316768,83.92958133,80.40861885,80.31994406,77.81736736,81.24316936,80.04350371,79.69630344
top_simulate,80.15766551,78.52838828,82.44083829,78.09711075,78.66581633,79.86428571,84.85888502,81.46522556,86.57711039,84.82025118,81.54375,82.17624224,78.732493,79.62175325,79.78227194,74.9375
top_std,17.41703938,15.7320855,13.1588254,14.10026809,17.41703938,15.7320855,13.1588254,14.10026809,17.41703938,15.7320855,13.1588254,14.10026809,17.41703938,15.7320855,13.1588254,14.10026809
R1_mae,2.916933642,3.330102083,3.757259395,3.295747453,2.916933642,3.330102083,3.757259395,3.295747453,2.916933642,3.330102083,3.757259395,3.295747453,2.916933642,3.330102083,3.757259395,3.295747453
R1_simulate_mae,12.14189445,11.08832132,9.614291672,11.28081761,12.14189445,11.08832132,9.614291672,11.28081761,12.14189445,11.08832132,9.614291672,11.28081761,12.14189445,11.08832132,9.614291672,11.28081761
